Rk,Player,Tm,Season PPG,Last 5 PPG,Last 10 PPG,Opp DR,Season MP,Projected MP Today,Today's Points,,,,,,,,,,,,,,,,,,,
47,Saddiq Bey,DET,16.1,13.2,13.3,110.2,33,33,5,,,,,,,,,,,,,,,,,,,
4,Santi Aldama,MEM,4.1,13.3,8.4,106.2,11.3,18.6,20,,,,,,,,,,,,,,,,,,,
381,Shake Milton,PHI,8.2,11.4,8.6,113.3,21.4,24.8,30,,,,,,,,,,,,,,,,,,,
139,Spencer Dinwiddie,DAL,13.7,10.8,12.9,111.7,29.6,29.6,8,,,,,,,,,,,,,,,,,,,
288,Stanley Johnson,LAL,6.7,9.8,8.4,111.5,22.8,23.1,15,,,,,,,,,,,,,,,,,,,
402,Svi Mykhailiuk,TOR,4.6,6,3,110.2,12.8,12.8,6,,,,,,,,,,,,,,,,,,,
363,T.J. McConnell,IND,8.5,9.3,9.3,112.3,24.1,24.1,14,,,,,,,,,,,,,,,,,,,
190,Taj Gibson,NYK,4.4,5.8,6.6,109.9,18.2,23.4,2,,,,,,,,,,,,,,,,,,,
251,Talen Horton-Tucker,LAL,10,15.8,13.6,111.5,25.2,27.1,10,,,,,,,,,,,,,,,,,,,
346,Terance Mann,LAC,10.8,11.6,12,111.7,28.6,33,10,,,,,,,,,,,,,,,,,,,
484,Terry Rozier,CHA,19.3,17.6,17.2,113.6,33.7,33.7,25,,,,,,,,,,,,,,,,,,,
527,Terry Taylor,IND,9.6,11.2,11.9,112.3,21.6,21.6,10,,,,,,,,,,,,,,,,,,,
601,Thaddeus Young,TOR,6.2,6.8,7.6,110.2,16.3,16.3,5,,,,,,,,,,,,,,,,,,,
224,Tobias Harris,PHI,17.2,12,14.8,113.3,34.8,34.8,6,,,,,,,,,,,,,,,,,,,
490,Tomáš Satoranský,WAS,3.6,6.6,5.3,113.1,16.5,16.5,5,,,,,,,,,,,,,,,,,,,
64,Tony Bradley,CHI,3,4.5,3.6,111,10,17.5,11,,,,,,,,,,,,,,,,,,,
514,Tony Snell,NOP,3.5,5.5,5.5,106.6,15.5,18.2,8,,,,,,,,,,,,,,,,,,,
120,Torrey Craig,PHO,6.6,8.8,6.9,114.8,20.5,27.1,8,,,,,,,,,,,,,,,,,,,
602,Trae Young,ATL,28.4,31,29.4,116.4,34.9,34.9,28,,,,,,,,,,,,,,,,,,,
298,Tre Jones,SAS,6,14.6,10.3,109.1,16.6,16.6,12,,,,,,,,,,,,,,,,,,,
84,Trey Burke,DAL,5.1,2.3,1.8,111.7,10.5,10.5,3,,,,,,,,,,,,,,,,,,,
343,Trey Lyles,SAC,10.5,10.6,12.1,106.8,20.5,20.5,9,,,,,,,,,,,,,,,,,,,
399,Trey Murphy III,NOP,5.4,11.2,9.7,106.6,13.9,17.9,15,,,,,,,,,,,,,,,,,,,
